term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
1840,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,1840,1840,1840
1842,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,1842,1842,1842
1846,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1846,1846,1846
1849,1,4,4.856825637045535e-07,20.9734829705378,NNP,1,{'NNP'},0,1849,1849,1849
1850,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1850,1850,1850
1851,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,1851,1851,1851
18mo,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,18mo,18mo,18mo
18th,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,18th,18th,18th
1st,11,3,5.3425082007500885e-06,17.514051351900502,CD,2,"{'CD', 'NNS'}",0,1st,1st,1st
2,16,1,7.770921019272855e-06,16.9734829705378,CD,2,"{'CD', 'NNP'}",0,2,2,2
20,5,2,2.428412818522767e-06,18.651554875650437,CD,2,"{'NN', 'CD'}",0,20,20,20
200,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,200,200,200
2000,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,2000,2000,2000
20000,2,5,9.71365127409107e-07,19.9734829705378,CD,2,"{'NN', 'CD'}",0,20000,20000,20000
200000,2,6,9.71365127409107e-07,19.9734829705378,NN,2,"{'NN', 'NNP'}",0,200000,200000,200000
20000000,1,8,4.856825637045535e-07,20.9734829705378,NN,1,{'NN'},0,20000000,20000000,20000000
200th,1,5,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,200th,200th,200th
20th,6,4,2.914095382227321e-06,18.38852046981664,CD,2,"{'JJ', 'CD'}",0,20th,20th,20th
21,1,2,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,21,21,21
2110,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,2110,2110,2110
213,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,213,213,213
2151,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,2151,2151,2151
21st,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,21st,21st,21st
22nd,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,22nd,22nd,22nd
23rd,2,4,9.71365127409107e-07,19.9734829705378,CD,2,"{'JJ', 'CD'}",0,23rd,23rd,23rd
246,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,246,246,246
24th,3,4,1.4570476911136605e-06,19.38852046981664,CD,2,"{'JJ', 'CD'}",0,24th,24th,24th
25000,2,5,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,25000,25000,25000
25th,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,25th,25th,25th
26th,3,4,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,26th,26th,26th
275th,4,5,1.942730254818214e-06,18.9734829705378,JJ,2,"{'JJ', 'CD'}",0,275th,275th,275th
27th,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,27th,27th,27th
2800,2,4,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,2800,2800,2800
28th,4,4,1.942730254818214e-06,18.9734829705378,CD,1,{'CD'},0,28th,28th,28th
297,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,297,297,297
29th,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,29th,29th,29th
2d,4,2,1.942730254818214e-06,18.9734829705378,CD,1,{'CD'},0,2d,2d,2d
2nd,2,3,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,2nd,2nd,2nd
3,14,1,6.7995558918637486e-06,17.166128048480193,CD,2,"{'CD', 'NNS'}",0,3,3,3
30,2,2,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,30,30,30
300,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,300,300,300
300000,1,6,4.856825637045535e-07,20.9734829705378,NNP,1,{'NNP'},0,300000,300000,300000
31,2,2,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,31,31,31
31st,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,31st,31st,31st
32,1,2,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,32,32,32
33,1,2,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,33,33,33
35,1,2,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,35,35,35
351,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,351,351,351
377,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,377,377,377
38,1,2,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,38,38,38
3d,4,2,1.942730254818214e-06,18.9734829705378,CD,1,{'CD'},0,3d,3d,3d
3rd,4,3,1.942730254818214e-06,18.9734829705378,CD,1,{'CD'},0,3rd,3rd,3rd
4,9,1,4.371143073340981e-06,17.803557969095486,CD,2,"{'NN', 'CD'}",0,4,4,4
40,3,2,1.4570476911136605e-06,19.38852046981664,CD,1,{'CD'},0,40,40,40
400,1,3,4.856825637045535e-07,20.9734829705378,NN,1,{'NN'},0,400,400,400
4000,1,4,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,4000,4000,4000
400000,1,6,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,400000,400000,400000
4000000,1,7,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,4000000,4000000,4000000
41,2,2,9.71365127409107e-07,19.9734829705378,NN,1,{'NN'},0,41,41,41
45,1,2,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,45,45,45
451,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,451,451,451
478,1,3,4.856825637045535e-07,20.9734829705378,CD,1,{'CD'},0,478,478,478
4th,8,3,3.885460509636428e-06,17.9734829705378,CD,1,{'CD'},0,4th,4th,4th
5,8,1,3.885460509636428e-06,17.9734829705378,CD,2,"{'NN', 'CD'}",0,5,5,5
500,2,3,9.71365127409107e-07,19.9734829705378,CD,1,{'CD'},0,500,500,500
5000,2,4,9.71365127409107e-07,19.9734829705378,VB,2,"{'VB', 'CD'}",0,5000,5000,5000
