term_str,n,p
coming,33,0.0003962393285544469
happiness,32,0.0003842320761740091
word,32,0.0003842320761740091
hours,32,0.0003842320761740091
object,32,0.0003842320761740091
mother,32,0.0003842320761740091
end,32,0.0003842320761740091
whether,32,0.0003842320761740091
talked,32,0.0003842320761740091
towards,32,0.0003842320761740091
men,31,0.00037222482379357133
set,31,0.00037222482379357133
want,31,0.00037222482379357133
replied,31,0.00037222482379357133
spoke,31,0.00037222482379357133
put,31,0.00037222482379357133
myself,31,0.00037222482379357133
answer,31,0.00037222482379357133
far,31,0.00037222482379357133
state,31,0.00037222482379357133
conversation,30,0.0003602175714131335
russells,30,0.0003602175714131335
full,30,0.0003602175714131335
wallis,30,0.0003602175714131335
able,30,0.0003602175714131335
went,30,0.0003602175714131335
obliged,30,0.0003602175714131335
harvilles,30,0.0003602175714131335
fine,30,0.0003602175714131335
husband,30,0.0003602175714131335
called,30,0.0003602175714131335
looking,30,0.0003602175714131335
less,30,0.0003602175714131335
hour,30,0.0003602175714131335
often,30,0.0003602175714131335
gave,29,0.00034821031903269577
understand,29,0.00034821031903269577
talk,29,0.00034821031903269577
strong,29,0.00034821031903269577
immediately,29,0.00034821031903269577
point,29,0.00034821031903269577
person,29,0.00034821031903269577
fortune,29,0.00034821031903269577
camden,29,0.00034821031903269577
use,28,0.00033620306665225797
bad,28,0.00033620306665225797
return,28,0.00033620306665225797
doing,28,0.00033620306665225797
former,28,0.00033620306665225797
pretty,28,0.00033620306665225797
hall,28,0.00033620306665225797
walked,28,0.00033620306665225797
brother,28,0.00033620306665225797
therefore,28,0.00033620306665225797
wished,28,0.00033620306665225797
thinking,28,0.00033620306665225797
subject,27,0.00032419581427182016
acquainted,27,0.00032419581427182016
let,27,0.00032419581427182016
shepherd,27,0.00032419581427182016
returned,27,0.00032419581427182016
situation,27,0.00032419581427182016
met,27,0.00032419581427182016
else,27,0.00032419581427182016
attention,27,0.00032419581427182016
year,27,0.00032419581427182016
against,27,0.00032419581427182016
days,27,0.00032419581427182016
sisters,27,0.00032419581427182016
sensible,27,0.00032419581427182016
wentworths,27,0.00032419581427182016
cousin,27,0.00032419581427182016
gentleman,27,0.00032419581427182016
marriage,27,0.00032419581427182016
taken,27,0.00032419581427182016
early,26,0.0003121885618913824
different,26,0.0003121885618913824
asked,26,0.0003121885618913824
dalrymple,26,0.0003121885618913824
ladies,26,0.0003121885618913824
because,26,0.0003121885618913824
doubt,26,0.0003121885618913824
longer,26,0.0003121885618913824
minutes,26,0.0003121885618913824
street,26,0.0003121885618913824
speak,26,0.0003121885618913824
marry,26,0.0003121885618913824
considered,26,0.0003121885618913824
beginning,26,0.0003121885618913824
told,26,0.0003121885618913824
forward,25,0.0003001813095109446
case,25,0.0003001813095109446
nature,25,0.0003001813095109446
assure,25,0.0003001813095109446
